message,purpose
Sleep removed.,discussion_participation
"Why does 3000 mean disabled? I'm assuming it's because the default count and bcount are also 3000. The symbolic constants for those values are `TR_DEFAULT_INITIAL_COUNT` and `TR_DEFAULT_INITIAL_BCOUNT` but even then it looks like the actual initial count we go with is determined at run time based on other options (e.g. quickstart), so if the goal is to keep these changes disabled for now by keeping the behaviour the same this might not be sufficient. It seems like these counts shouldn't be statically initialized, they should be initialized with whatever values we decide on for the default counts.",discussion_participation
"The description for this change says we want to target ""methods belonging to bootstrap classes that are executed a lot during start-up but to a lesser degree during steady state"" but the check here is `isClassLibraryMethod()` which is basically every method from JCL and J9VM classes (regardless of when and how often it's executed) isn't it? Is there some other logic elsewhere that actually limits the behaviour to what was desired?",discussion_participation
"Is there any concern that this could negatively affect programs that make heavy use of the JCL long after startup? E.g. programs that use `java/{util/math/io}` or something of that nature in their primary task? Since the functionality will be disabled until more performance measurements are done I don't think we need an answer to this now, but finding/measuring important programs that go against this assumption is probably a worthwhile data point.",discussion_participation
"Does removing this mean that on zOS we'll be compiling ""important for start-up"" methods at AOT-warm now, where as before they were compiled at AOT-cold? Since the comment for this `#ifdef` says it's purpose is to reduce CPU consumption perhaps we need someone to clarify exactly what was desired. This patch should result in less CPU consumption when the important for start-up methods are in the cache, but more if they have to be compiled since they're now at a higher opt level.

Is zOS OK with this change or do we really want to maintain the slightly different behaviour for it? Personally I'd prefer it if heuristics were the same on all platforms, it makes life easier for everyone in the long run, but I'm not qualified to comment on zOS issues.

If ""tweaks"" like this need to exist they should be guarded with an option rather than an `#ifdef` since there is really nothing architecture-specific about the heuristic or the tweak and it would make it easier to know that the tweak even exists in the first place.

Any comments @fjeremic and/or @joransiu?",discussion_participation
"Looks like this comment is no longer needed right?

```suggestion
```",discussion_trigger
"I checked that the hook was being called on the server and it is unfortunately, presumably because bootstrap classes are still loaded. There are various other JITaaS mode checks in that code so it seems to have been the case all along at least.

Anyway I've moved the check into `ensureUnloadedAddressSetsAreInitialized()` instead to make sure the single persistent instances are never created on the server regardless of where it's called from.",discussion_participation
"It should be since the source iterators are pointers and `std::distance()` can be calculated in constant time, but I've changed the caller to construct the vector with the exact required capacity to avoid even the initial expansion.",discussion_participation
Done.,discussion_participation
Done. The address set is allocated dynamically the first time the server processes unloaded classes for each client. The max size is transmitted from the client together with the initial set of ranges.,discussion_participation
Done.,discussion_participation
Done.,discussion_participation
Done.,discussion_participation
Done.,discussion_participation
Are `_diagnosticThreadIndex` and `_compThreadIndex` supposed to be 0-based indices or a count of the number of threads? I see it them being used as both and it is a little confusing.,discussion_participation
"Can you clarify why we have methods like `initializeCommonAOTRelocationHeader` and `dumpRelocationHeaderData` that manipulate the entire record, not just the header?

In the previous case I was writing to both a header field and the record's data portion, and in this case I'm dumping the record's data, not the header.",discussion_participation
Not sure what happened here but it shouldn't be a new file.,discussion_participation
"Initial date should be the year the file was originally authored, please update to `2018`",discussion_participation
Please add a newline at the end of the file,change_request
Please fill in this README section on how to use the .copyrightignore file,change_request
fixed,acknowledgement
fixed,acknowledgement
I think these were examples just for testing purposes ^ and should be removed.,discussion_participation
"Not sure whether you wanted all of them removed but have done so. 
We can add others back if needed.",discussion_trigger
I expect copyrightCheck should be copyrightignore,discussion_participation
The word `root` is repeated twice,discussion_trigger
example uses `pipelines` while description uses `pipeline`,discussion_participation
example uses `.ignore` while description uses `ignore`,discussion_participation
"Examples 1 and 2 quote the directory and file names, the remaining examples do not.",discussion_participation
Why ignore .copyrightignore? It has a copyright.,discussion_participation
The .copyrightignore file is used by the copyrightCheck so that statement is correct.,discussion_trigger
Removed 2nd root,discussion_participation
Updated to use `pipelines`,acknowledgement
Updated to specify `.ignore`,acknowledgement
"> Do you have any files / paths that should be added to ignore.

I believe so, any file that doesn't already have a copyright. I could write/run a little code later to produce a list.",discussion_participation
"I found 389 OpenJ9 files without a copyright, but since these files tend not to be modified, I don't think there is any rush to add ignores for any of them. I'm happy to deliver a blank file in this PR and modify it later.",discussion_participation
This isn't reasonable: it will break all other platforms.,discussion_participation
I don't think this is an issue. As far as I am aware the git-encoding is only recognised and used by the version of git that is available from rocket software. The tests I have done on other platforms as well as the CI job that was run against this PR (on a Linux machine) all worked successfully.,discussion_participation
I read some more about git attributes: it seems you're right that unknown attributes will just be ignored.,discussion_participation
This is redundant - it's just the defauls set above.,change_request
All text files should have a final newline ('Y' should *not* be the last character).,discussion_trigger
"OK, will try without these.
Not sure why these were added if the default should have set them correctly.
It may be that we just wanted to ensure these were encoded correctly. ",discussion_participation
"Why do `runtime/gc_glue_java/*.c*` and `runtime/gc_glue_java/*.h*` need special treatment, but not other C/C++ source files? What, if any, changes will be required for OMR?",discussion_participation
"Why do .cpp/.hpp files in runtime/gc_glue_java need special treatment? Can they not be subject to the default which applies to the other C/C++ source files throughout the rest of the source tree? If there's a good explanation, please add it as a comment in this file; otherwise please remove these redundant lines.",discussion_participation
Please remove this comment.,change_request
Can these not also be subject to the default text file rules above?,discussion_participation
I don't think so. These are set in the default .gitattributes file that we initially got.,discussion_participation
"OK, will do.",discussion_participation
"There must have been a reason these were added. 
Will remove and see whether it still works as expected.",discussion_participation
"When you get to a final set of encoding mappings, could you please update this comment so it is accurate?",change_request
"Have changed the comment to be generic.  
There is no point listing all the files that are changed as they are specifically listed in the file. 
Hopefully this is the last change that you require and this PR can be OK'ed and Merged.",discussion_participation
"We may want to wrap some of these in `<!---` and `-->` so they're displayed as comments in case the issue author forgets to delete them. We can also introduce some sections. For example:

---
### Failure link
<!--- Replace this with a link to the failing test case. If the link is internal, instead include which test suite (functionality, system, etc), platform, JDK version, build level. -->

### Output from the failure
<!--- Place the output from the failure, including test name withing the triple back-ticks below -->
```
```

",discussion_participation
There is some risk that a user would put text inside the comments. I've added sections and introduced additional formatting.,discussion_participation
"Since macos-10.15 can't work for jdk8, it needs to be removed.",discussion_participation
Updated.,acknowledgement
This part should be delivered to the openj9 repo as well.,discussion_participation
"See my comment in issue #9570 - my thought was to have this action live as a standalone repo (like openj9-systemtest or openj9-website) as it may also be used by those who may to verify changes to openj9-omr, openjdk-tests, or the extensions repos.

<img width=""774"" alt=""Screen Shot 2020-05-19 at 10 50 14 AM"" src=""https://user-images.githubusercontent.com/2836948/82342178-501b6f80-99bf-11ea-9ee6-a7638db9ce48.png"">
",discussion_participation
Done.,discussion_participation
"The configure step is missing some arguments to be comparable with OpenJ9 builds.
Currently: 
```
if (parseInt(version) > 8)  bootjdkConfigure = `--with-boot-jdk=${workDir}/bootjdk`
bash configure --with-freemarker-jar=${workDir}/freemarker.jar ${bootjdkConfigure}`
```

Linux should also use:
all: `--enable-jitserver --openssl-version=1.1.1g --with-openssl=fetched --enable-cuda --with-cuda=<path>`
8: `--disable-zip-debug-info`

Mac:
all: `--openssl-version=1.1.1g --with-openssl=fetched --enable-openssl-bundling`
8:
`--with-xcode-path=.../Xcode4/Xcode.app --with-openj9-cc=.../clang --with-openj9-cxx=.../clang++ --with-openj9-developer-dir=.../Developer`
`MACOSX_DEPLOYMENT_TARGET=10.9.0 SDKPATH=.../MacOSX10.8.sdk`

Windows:
all: `--openssl-version=1.1.1g --with-openssl=<path> --enable-openssl-bundling --enable-cuda -with-cuda=<path>`
8: `--disable-zip-debug-info --with-freetype-include=.../freetype-2.5.3/include --with-freetype-lib=.../freetype-2.5.3/lib64`
11+: `--with-toolchain-version=2017`",discussion_participation
"Updated with Linux and Mac. For Windows will update when enabling. 
https://github.com/sophia-guo/build-jdk-openj9/pull/10",discussion_participation
"`--with-xcode-path=.../Xcode4/Xcode.app --with-openj9-cc=.../clang --with-openj9-cxx=.../clang++ --with-openj9-developer-dir=.../Developer MACOSX_DEPLOYMENT_TARGET=10.9.0 SDKPATH=.../MacOSX10.8.sdk` wasn't meant to be taken literally. The `...` needs to be replaced with a full path. For example, below are the actual commands that OpenJ9 uses, but the paths need to be correct for the machine used to build. Also MACOSX_DEPLOYMENT_TARGET and SDKPATH are environment variables, not configure options. Since JDK8 for Mac needs to build on a older OS version 10.11, probably it can't be built using a github action.

`--with-xcode-path=/Users/jenkins/Xcode4/Xcode.app --with-openj9-cc=/Users/jenkins/Xcode7/Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/clang --with-openj9-cxx=/Users/jenkins/Xcode7/Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/bin/clang++ --with-openj9-developer-dir=/Users/jenkins/Xcode7/Xcode.app/Contents/Developer`

`SDKPATH=/Users/jenkins/Xcode4/Xcode.app/Contents/Developer/Platforms/MacOSX.platform/Developer/SDKs/MacOSX10.8.sdk`
",discussion_participation
macos-10.15 is the only available github-hosted Mac environment for now. And looks like if there will be more Mac versions it will be the newer version. That is saying if we are going to use github-hosted environment there will be no chance to build jdk8 on Mac. Maybe leave those code as comment as TODO.  When there is workable environment we can fix the correct path?,discussion_participation
Sounds good.,discussion_participation
Updated. https://github.com/sophia-guo/build-jdk-openj9/pull/12,acknowledgement
"pull_request:
    branches:
      - master

I know its still a WIP (thanks for getting this together so quickly!), a question: is default to master, or do you have to explicitly state only run this workflow on pull_requests to master (as shown in the snippet above)?",discussion_participation
Updated to nightly as discussed. ,acknowledgement
JDK8 only supports building on Mac 10.11,discussion_participation
"Is this directory normally at the root of the working copy? If so, it should be `/.vscode/` here. Please also add a comment so it's clear it's not related to tests.",change_request
updated... the tool automatically added it without the `/` which I would have preferred to keep but convention in this file says to add it so I did,discussion_participation
Is the hack actually misspelled? (Two `R`s),discussion_participation
"Sadly, that matches what's in the tr.source makefiles: https://github.com/eclipse/openj9/blob/master/runtime/tr.source/makefile.ftl 

(edited to add: and in the rest of our code... see https://github.com/eclipse/openj9/search?utf8=?&q=UMA_WINDOWS_PARRALLEL_HACK&type=)",discussion_participation
![facepalm](https://media.giphy.com/media/3og0INyCmHlNylks9O/giphy.gif),discussion_participation
We should stop specifying `-openj9-branch` since we really only care about `-openj9-sha`,discussion_participation
"I suppose it doesn't really matter. `$TRAVIS_BRANCH=master` and the default is `master` so it doesn't really change anything. If at some point the get_source script changes its default, we would probably want `TRAVIS_BRANCH` instead, although it doesn't really matter because he checkout the SHA anyways.",discussion_participation
Any reason to remove the version information from the file name?,discussion_participation
"Not really, and I was just thinking of putting that back in to make it obvious.  You're comment seals it.",acknowledgement
"The ccache commands were removed, is this intentional?",discussion_participation
This comment was lost.,acknowledgement
Fixed,acknowledgement
Why two ccache lines instead of 1?  Can you add a comment to explain what / why these options are being used?,change_request
"I suppose there is no real reason for having them in separate command invocation, other than the fact that they are logically separate actions. The `-M 1G` just sets the max cache size to 1GB (the default is 512MB, and just building the vm once puts the cache usage at 517MB)",discussion_participation
This change doesn't belong in this PR.,discussion_participation
"What does `FindJava` do?  Is it something we authored?  

The root of my concern is that we want to be able to specify the Java being used to ensure it's the same bootjdk used by the rest of the build.",discussion_participation
"It is a built in module from cmake. you can point it to a specific java by setting `JAVA_HOME`
https://cmake.org/cmake/help/v3.4/module/FindJava.html",discussion_participation
I think this should use the bootjdk as configured in the extension project rather than the default for the build machine.,discussion_participation
I would rather this errors out than pick a random java,discussion_participation
"Ultimately, this is the same behavior that we have in the [makefiles](https://github.com/eclipse/openj9/blob/01f3a1c977a8fc5b06de4b0dcc4b4745f1796e8b/runtime/buildtools.mk#L49), and in the openjdk [autoconf](https://github.com/ibmruntimes/openj9-openjdk-jdk11/blob/d42cd0d94f7e017c1b3fbcb748cfecce81e15801/make/autoconf/boot-jdk.m4#L43)",discussion_participation
This code is downstream from the openjdk autoconf.  We should never get here without having set the bootjdk,discussion_participation
"@dnakamura If this gets dealt with, I think it's ready to merge",discussion_participation
@DanHeidinga  How would you feel about wrapping this behavior up in a flag? ie J9VM_FORCE_JDK_SEARCH or something. I'm thinking of the case of the jit linter. To run properly it needs to generate all the various header files. The easiest way to do that is to just run cmake outside of the full openjdk build. Its not clear what the proper value of BOOT_JDK should be,discussion_participation
"You raise a good point.  I hadn't thought of the jit linter.

I was about to say it's not unreasonable to force it to pick a JDK but it kind of is.... That extra barrier isn't needed.",discussion_participation
"Maybe ...such as documentation only changes, to avoid unnecessarily wasting the project's build resources.

?",discussion_participation
@pshipton unfortunately I don't think this will work. https://help.github.com/articles/closing-issues-using-keywords/ states that the keyword must be followed by the issue number. The colon here will mess this up and GitHub won't recognize it.,discussion_participation
Change lftm. Although I think the example commit message below is a little silly as it refs the issue # twice.,discussion_participation
The example is just to demonstrate the different ways of referring to an issue.  Not a best practice :),discussion_participation
"Yes, just reinforces the previous sentence. I wanted to keep it concise and simple. I'm actually in favor of removing the ""Remember, if a blank..."" paragraph as it's to verbose. Thoughts?",discussion_participation
I don't believe this is necessary - both Closes and Signed off can be part of the footer.,discussion_participation
https://github.com/eclipse/openj9/pull/1636#issuecomment-395081510 seems to imply otherwise. @IBMJimmyk can you validate the correctness of your comment?,discussion_participation
"Actually @DanHeidinga there is a clear example of the check failing in https://github.com/eclipse/openj9/pull/2098. You can see the failure output (https://ci.eclipse.org/openj9/job/PullRequest-SignedOffByCheck-OpenJDK10/244/):

```
13:32:51 ###################################
[Pipeline] echo
13:32:55 FAILURE - The following commits appear to have an incorrect sign-off
[Pipeline] echo
13:33:02 commit afc2c20e928648a6277b2d17f5eebd01b2e75699
13:33:02 Author: Daniel Hong <daniel.hong@live.com>
13:33:02 Date:   Thu May 31 09:55:11 2018 -0400
13:33:02 
13:33:02     Re-enable toLowerCase/toUpperCase acceleration
13:33:02     
13:33:02     Modify API call so that caseConversionHelper recieves
13:33:02     underlying arrays and length of string.
13:33:02     
13:33:02     Closes: #1934
13:33:02     Signed-off-by: Daniel Hong <daniel.hong@live.com>
[Pipeline] echo
13:33:05 ###################################
```

So we do in fact need a new line between the ""Closes"" and ""Signed-off-by"" tags in the footer.",discussion_participation
Note the PR referenced has since been fixed up but I've linked the failing job in the above comments. It's easily reproducible as well.,discussion_participation
That just means the check we are implementing hasn't been implemented correctly. Its not the Eclipse ip-validation which was failing.,discussion_participation
So do we need an issue against our own check to handle this case and close this PR?,discussion_participation
"There already is an issue open, the check is WIP and being testing on the OpenJ9 repo. 
https://github.com/ibmruntimes/openj9-openjdk-jdk9/issues/58#issuecomment-395229037
https://github.com/eclipse/openj9/pull/1941

Yes I think we can close this PR.",discussion_participation
"I don't think we need to add anything below here, the requirement is only to add the above copyright and permission notice.",change_request
Done.,discussion_participation
Done.,discussion_participation
Done.,discussion_participation
Done,discussion_participation
"The license shouldn't be translated, it should remain in English.",discussion_participation
"The implementation of this is identical to the ParentCustomClassLoader with only the name used in `loadClass` being different.

Is there a reason to duplicate the class and the implementations of each method?
",discussion_participation
"A single CustomClassLoader would be sufficient if passed 1) its parent & 2) the name of the ""special class"" to check in `loadClass`.",discussion_trigger
Fixed.,acknowledgement
The reason is that a couple of methods related to module (e.g. Module.isExported()) are missing in the current build with b148.  Choosing the latest level is a safe way to ensure all methods of Module are handy for use in our code as we have no idea when they are provided.,discussion_participation
"Unfortunately this is not documented in the API Spec but it was detected in failing JCK tests.
This check is based on the explanation of Accessibility for the Module System at http://openjdk.java.net/projects/jigsaw/spec/sotms/

2.4  Accessibility
...
Thus, even when a type is declared public, if its package is not exported in the declaration of its module then it will only be accessible to code in that module.",discussion_participation
"the API document at http://download.java.net/java/jdk9/docs/api/java/lang/invoke
/MethodHandles.Lookup.html#toString--  says:
....
If none of the above cases apply, it is the case that full access (public, module, package, private, and protected) is allowed. In this case, no suffix is added.
<------ So there is no need to throw exception or assertion in this default case.

",discussion_participation
test/Jsr292/src/com/ibm/j9/jsr292/LookupInTests.java only works for Java 8 (829) and Java 9 with b148 in which case there is no UNCONDITIONAL bit added.  The test cases with MODULE/UNCONDITIONAL bit updated were placed at test/OpenJ9_Jsr_292_API/src/com/ibm/j9/jsr292/LookupInTests.java,discussion_participation
Already explained as above,discussion_participation
Updated the misleading comments.,acknowledgement
"We need to call a few methods of Module (e.g. isExported) which are missing in the current build with b148. So the easiest way for us is to ensure the new code only works on openj9 (e.g. b175) rather then the current build (b148).

To get all existing cases work on Java 8/b148,  all these tests in the original LookupInTests.java plus the required files were copied to a new test project called OpenJ9_Jsr_292_API as suggested by the FVT team. 

As a result, test/Jsr292/src/com/ibm/j9/jsr292/LookupInTests.java only work for Java 8 (829) and Java 9 with b148, while test/OpenJ9_Jsr_292_API/src/com/ibm/j9/jsr292/LookupInTests.java only work on openJ9.

The only difference of these two files is that all Module related test cases in OpenJ9_Jsr_292_API were updated to support MODULE/UNCONDITIONAL bit.",discussion_participation
Comment added and code updated to directly check against PUBLIC_LOOKUP object (already verified in tests),discussion_participation
Only a public lookup object holds PUBLIC | UNCONDITIONAL bit so checking these two bits should be sufficient but it never hurts to change to only check whether it is a public lookup.,discussion_participation
"All these files were directly copied from the original jsr292 directory without any changes.
So agreed and updated to use CustomClassLoader to avoid redundancy. 

I prefer not to change the same files in the original jsr292 directory (for java 8 and java 9 with b148) as these files are used by other tests which are irrelevant to our code.",discussion_participation
"Becasue the job every 15 minutes, and becasue the `CopyArtifact` step pulls the artifact from the last successful build, we need to archive the artifact every build.
Although, I suppose if we don't have no new content there is no need to overwrite the file with the same SHA. The only other case would be if we failed to fetch the previous artifact, then we would get the default values, in which case we would have ""new content"" and we would write the file.
So I think you are correct we should be safe to move it inside the `if`",discussion_participation
Updated commit,acknowledgement
"This code change bothered me earlier as I couldn't figure out why it was showing up as a change.... and the answer is whitespace.  This is one of the big reasons why I'm strongly opposed to this kind of formatting.

Rather than this appearing as a single line of change - easy to review, easy to tell why it changed - it now looks like all 4 lines were modified.

I'm not going to say it has to be changed, but will ask that this kind of alignment is avoided in future commits",discussion_participation
This is likely an internal ticket number - can you remove it and add any necessary context to the code or the PR?,discussion_participation
What does this featureId mean?,discussion_participation
This is the Jazz work item for the refactoring of the Attach API.,discussion_participation
Fixed.,acknowledgement
I'm not a fan of this mixed all lower case with camelCase.  Can this be named `allowAttachSelfValue` for better readability?,discussion_participation
Please use an OpenJ9 issue number rather than a internal Jazz #.,discussion_participation
Should the test be printing this unconditionally or should it be using an existing logger framework?,discussion_participation
Is there no better way to get a VIrtualMachine id?  Something without looping?,discussion_participation
Why was it copied?  Is there a way to avoid duplicating the code?,discussion_participation
We shouldn't be using SuppressWarnings.  Please fix the NLS issues.,discussion_participation
Can you group the static finals with the other static finals?  It makes it easier to see what the actual mutable state is.,discussion_participation
Please remove the `tgt` short form as the code uses a mix of that and `target`.   Using one consistently is better and the full word is better for readability,discussion_participation
"Why use `ready()` here?  It returns false on an empty stream or if the read implementation might block.
I could see a single `ready()` call and then use `readLine()` to loop... am I missing something here?",discussion_trigger
Does this need to be wrapped in a `verbose` test?  Won't the logger.debug call determine whether it should be printed or not based on the configured logging level?,discussion_trigger
"This really needs some comments to walk a reader of the code through.  I'm not sure what `sidecar` is, or why this code is structured the way it is.  Aim to make it obvious for a reader (or person debugging) to understand the code - especially as that may be future you a few months down the line =)",discussion_participation
Can you add javadoc for each of these methods?  It looks like this method tries to recursively list all the files and directories under the java.io.tmpdir to the logger.debug() output.  Should it only be called if the logger.debug() level is enabled?,discussion_participation
I don't think this is the right code.   I would expect a loop while readLine() is not returning null.,discussion_trigger
same as above and in other places using ready().,same_as
Please don't use SuppressWarnings.,change_request
Can you explain the difference between src_latest and src_current?  I'm not aware of why there are two...,discussion_participation
"Done, though I inserted an underscore before ""value"" to indicate that it's the value of allowAttachSelf.",discussion_participation
"Playlist: updated.

SelfAttacher:
This isn't to get the vmID.  It's cycling waiting for the attach API to initialize.  There is OpenJ9 internal API to do that, but it's not portable.",discussion_participation
"SelfAttacher is run as a child process whose stdout and stderr are captured by the TargetManager which can log it, though I don't bother doing so in this test.",discussion_participation
Fixed.,acknowledgement
"The original TargetManager is in Java8AndUp, which shares no OpenJ9 test code with Java9AndUp.  Maybe @smlambert or @llxia can suggest a better mechanism.",discussion_participation
Done.,discussion_participation
Done,discussion_participation
"The intent is to grab as much of stderr as possible without blocking, in case the stdout closed but stderr stayed open.  Comment added.",discussion_participation
"> especially as that may be future you a few months down the line =)
I wrote this 9 years ago :-).

Done.  Let me know if you want more.",discussion_participation
"> Can you add javadoc for each of these methods? 
Done.  Let me know if you want more explanation.

>It looks like this method tries to recursively list all the files and directories under the java.io.tmpdir to the logger.debug() output. Should it only be called if the logger.debug() level is enabled?
Actually, it lists the contents of /tmp/.com_ibm_tools_attach, which will be a few files for each Java process.  This method is mostly for post-failure analysis.",discussion_participation
"As mentioned above, I don't want readline() to block.",discussion_trigger
Okay.,acknowledgement
This is a kludge to handle the API differences between the two JCL versions in the builds.,discussion_participation
See above.,discussion_participation
I don't think this actually stops readline from blocking - the stream is ready as soon as there are characters available.,discussion_participation
Is ClassesThatShouldNotBeLoaded normalized so there is only one entry per class? If it is then this is fine. If there are duplicates we may need to cache the lookup result since the name lookup can be expensive.,discussion_participation
"Currently, all optimizations that add to `ClassesThatShouldNotBeLoaded` will ensure duplicates are not added.",discussion_participation
We get more streamlined code if we capture `enableSharingInSubstringWhenOffsetIsZero' in that it doesn't need to be negated in every use case.,discussion_participation
"This becomes
```
enableSharingInSubstringWhenOffsetIsZero = enableCopyInSubstringWhenOffsetIsZeroProperty == null || enableCopyInSubstringWhenOffsetIsZeroProperty.equalsIgnoreCase(""false"");
```",discussion_trigger
Fixed in a44d52e.,acknowledgement
"Fixed in a44d52e. Though it should be `...equalsIgnoreCase(""true"")`, right?",discussion_participation
"equalsIgnoreCase(""false"") is correct because ""true"" or other values mean to enable copy.",discussion_participation
"@pshipton this is the intent though. `String.enableSharingInSubstringWhenOffsetIsZero` should be `true` by default. The system property is only provided as a fallback in case users experience OOM issues in very rare cases outlined in the commit description.

The intent of this change is not to alter the current behavior of any of the APIs, but to simply provide an alternative if a user does encounter issues described.",discussion_participation
Ok then this looks ok,acknowledgement
"@keithc-ca removed unnecessary convert function, thx.",discussion_participation
Can you remove this added (blank) line?,discussion_trigger
"done, thx",discussion_participation
"I thought that we had some other test examples where there were differences between 829 and OpenJ9, where we moved the common code out for reuse by both to minimize duplication (like in Java8andUp).  @renfeiw is there an opportunity to do similar with this code to avoid bloating the repo with lots of duplication?",discussion_participation
"We don't have a better way for this case right now. If we want share the same file without referencing across java projects, we need to place the new tests into the existing Jsr292 project. However, the Jsr292 project is excluded from openj9 currently. So the added tests will be excluded as well. We are working on a better way to exclude test, with that in place we will be able to handle this case in the future. ",discussion_participation
"If this is expected to throw, it doesn't need the `Assert.assertEquals`.  The `mhFix.invoke` is sufficient.",discussion_trigger
Two fail calls back to back,discussion_trigger
The assertEquals isn't required here.,discussion_participation
"This will need to be split into it's own test.  Otherwise, this will never be executed as the previous one will throw.",discussion_participation
`assertEquals` not required here/,discussion_participation
Everything after this is dead code.  Can you split it into another test?,discussion_participation
Not sure why the original test case was written in this way. Already fixed.,discussion_participation
Agreed and fixed.,acknowledgement
Fixed at multiple places.,acknowledgement
Updated.,acknowledgement
Fixed.,acknowledgement
Fixed.,acknowledgement
Fixed.,acknowledgement
Already split.,discussion_participation
Already split.,discussion_participation
@pshipton unfortunately I don't think this will work. https://help.github.com/articles/closing-issues-using-keywords/ states that the keyword must be followed by the issue number. The colon here will mess this up and GitHub won't recognize it.,discussion_participation
typo,change_request
typo,change_request
"If this is only a build job, probably no test material archived.",discussion_participation
"The purpose here for archiving the test source is to pass both the sdk and test material to the Test Jobs. That way we don't need to reclone it in the test job and we ensure we get the same source version as the build. We could not archive it and pass a SHA, but as I said, we would have to clone again. Not sure if one method is better than the other though.",discussion_participation
Can make the extensions repo and openj9-omr repo mentions into links?,discussion_participation
"Can you change the wording then to something like ""Archives the SDK and test material for later pipeline stages""?",discussion_participation
links would be great for the repos here.,discussion_participation
"Can we reorganize this a little so the two OMR related builds are together and the website one comes after?

Also, can this describe the tag laid down on merges?",discussion_participation
"Is there a reason to have the #else section here?  Can't the ztpf code just exclude the main body and avoid duplicating the TRC and return?  Provided the gsParams is initialized before calling the function, this should be fine.",discussion_participation
Same question as above.  Can we limit the ztpf-specific code paths by changing what's #ifdef'd out,discussion_participation
Update made.,discussion_participation
Update made.,discussion_participation
Since this function is called from two analyses would it be better somewhere in the OSR infrastructure?,discussion_participation
The string length shouldn't be hard coded. sizeof() can determine the string size at compile time.,discussion_participation
"The terminating zero needs to be included in the comparison, otherwise the check could match a subset of a longer name.",discussion_participation
Could the J9_SHARED_DLL_NAME ever fail to be found? I'm wondering the message should also be printed when (NULL == entry).,discussion_participation
"I think it is unlikely we will have another module that does not depend on j9shr29 dll but its name begins with ""openj9.sharedclasses"". But I am fine changing it to use strcmp() too.",discussion_participation
"Right, it is better to also print this message when entry is null. ",discussion_trigger
"strncmp() is fine, just the length should include the null terminator.",discussion_participation
Space before {,change_request
Is there a specific reason you need the ? here (for the JIT)?  This would read better as simply != 0.,discussion_participation
See above.,discussion_participation
Fixed.,acknowledgement
Fixed.,acknowledgement
Fixed.,acknowledgement
I don't follow the idiv here... could you explain a bit more?,discussion_participation
Class.isArray returns boolean so the result can only be 0 or 1.,discussion_trigger
should this be a right shift or something if we are trying to get rid of trailing zeros or something then? idiv is an expensive thing that the optimizer needs to see through so we should avoid generating it,discussion_participation
"Since the divisor is a constant and power of two, it will be turned into a shift instruction in codegen.",discussion_participation
Since you're creating the expression yourself I suggest you create the optimal one now rather than relying on the code generator to do any sort of optimization on it. We have multiple code generators and creating trees that then need to be optimized in all of them is not such a good idea.,discussion_participation
